TIER,PLAYER,COUNT,SCORE,CITS,,
,MONA,0,0,,,
,MONTES,0,0,,,
,Maanan,0,0,,,
,Mador,0,0,,,
,Maelstrom,0,0,,,
,Mal the Uncrowned,0,0,,,
,Manandis,0,0,,,
,Marco,0,0,,,
,MarcusTulliusCicero,0,0,,,
,Marvilla,0,0,,,
,Mausida,0,0,,,
,Maximus Decimus,0,0,,,
,Mazura,0,0,,,
,Meddry,0,0,,,
,Minerva,0,0,,,
,Mingo 2,0,0,,,
,Moginn,0,0,,,
,Mogra,0,0,,,
,Monster Killer,0,0,,,
,Morardin,0,0,,,
,Morn,0,0,,,
,Muradin Bronzebeard,0,0,,,
,NaChos,0,0,,,
,Nevyn,0,0,,,
,Nobody special,0,0,,,
,Norbee1984,0,0,,,
,Nygus,0,0,,,
,Ognisty Smok,0,0,,,
,Ollin,0,0,,,
,Osferth,0,0,,,
,Pearl,0,0,,,
,Priligy,0,0,,,
,Pryntyl,0,0,,,
,Puck,0,0,,,
,RED GUARDIAN,0,0,,,
,Rain,0,0,,,
,RatkoM,0,0,,,
,Ray Gillette,0,0,,,
,Rebellion,0,0,,,
,RedDragon,0,0,,,
,Rhodorix,0,0,,,
,Rori,0,0,,,
,Sabar,0,0,,,
,Sailv,0,0,,,
,Sassy Gal,0,0,,,
,Saucy Joy,0,0,,,
,Secret Keeper,0,0,,,
,Sihtric,0,0,,,
,Silverblade,0,0,,,
,Sir Chthulhu I,0,0,,,
,Sire Menion,0,0,,,
,Smok,0,0,,,
,Smokn,0,0,,,
,StarSailor,0,0,,,
,Steapa,0,0,,,
,Sterling Archer,0,0,,,
,TOKUGAWA NOBUNAGA,0,0,,,
,The Gladiator,0,0,,,
,Thor,0,0,,,
,Tolnozin,0,0,,,
,Tonto,0,0,,,
,Tricolor Carioca,0,0,,,
,Turbrimir,0,0,,,
,Tygojind,0,0,,,
,Tygoran,0,0,,,
,Tygradi,0,0,,,
,Unicorn X,0,0,,,
,Vatharia,0,0,,,
,Viper I,0,0,,,
,Xavier St Cloud,0,0,,,
,Xena,0,0,,,
,Xenia,0,0,,,
,ZaCk,0,0,,,
,aganaway,0,0,,,
,desperados,0,0,,,
,mestesso,0,0,,,
,nallekarhu,0,0,,,
,nervous,0,0,,,
,semoury,0,0,,,
