PLAYER,,TOTAL,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25
Finan,,0,0,0,0,0,0,0,0
Finvenen,,0,0,0,0,0,0,0,0
Fire Armor,,0,0,0,0,0,0,0,0
Fisk,,0,0,0,0,0,0,0,0
Foolish Mortal,,0,0,0,0,0,0,0,0
Genghis Khan,,0,0,0,0,0,0,0,0
Gros jnr,,0,0,0,0,0,0,0,0
Grosvenor,,0,0,0,0,0,0,0,0
Haiiro,,0,0,0,0,0,0,0,0
Heimdall,,0,0,0,0,0,0,0,0
Hermit,,0,0,0,0,0,0,0,0
Hulk,,0,0,0,0,0,0,0,0
Immortal,,0,0,0,0,0,0,0,0
Immortal I,,0,0,0,0,0,0,0,0
Jeepster,,0,0,0,0,0,0,0,0
Jill,,0,0,0,0,0,0,0,0
KARMA,,0,0,0,0,0,0,0,0
KASS,,0,0,0,0,0,0,0,0
Kajko,,0,0,0,0,0,0,0,0
Kall,,0,0,0,0,0,0,0,0
Karo 3,,0,0,0,0,0,0,0,0
Karodor2,,0,0,0,0,0,0,0,0
Kerilir,,0,0,0,0,0,0,0,0
Kit Carson,,0,0,0,0,0,0,0,0
Kokosz,,0,0,0,0,0,0,0,0
Kordobrek,,0,0,0,0,0,0,0,0
Kyperion Du Torbiney,,0,0,0,0,0,0,0,0
LETS GO BRANDON,,0,0,0,0,0,0,0,0
Ladacznica,,0,0,0,0,0,0,0,0
Lady Hawke,,0,0,0,0,0,0,0,0
Lanfir,,0,0,0,0,0,0,0,0
Lanmoin,,0,0,0,0,0,0,0,0
Legon,,0,0,0,0,0,0,0,0
Lerinad,,0,0,0,0,0,0,0,0
Lilor,,0,0,0,0,0,0,0,0
Lirafin,,0,0,0,0,0,0,0,0
Lordis,,0,0,0,0,0,0,0,0
Luciditee,,0,0,0,0,0,0,0,0
MILI,,0,0,0,0,0,0,0,0
MIYAMOTO MUSASHI,,0,0,0,0,0,0,0,0
MMM,,0,0,0,0,0,0,0,0
MMMm,,0,0,0,0,0,0,0,0
MONA,,0,0,0,0,0,0,0,0
Maanan,,0,0,0,0,0,0,0,0
Mabrinad,,0,0,0,0,0,0,0,0
Mador,,0,0,0,0,0,0,0,0
Maedrosin,,0,0,0,0,0,0,0,0
Maelstrom,,0,0,0,0,0,0,0,0
Magda Ewa,,0,0,0,0,0,0,0,0
Mal the Uncrowned,,0,0,0,0,0,0,0,0
Manandis,,0,0,0,0,0,0,0,0
Marcelo,,0,0,0,0,0,0,0,0
Marco,,0,0,0,0,0,0,0,0
MarcusTulliusCicero,,0,0,0,0,0,0,0,0
Marvilla,,0,0,0,0,0,0,0,0
Masius,,0,0,0,0,0,0,0,0
Maximus Decimus,,0,0,0,0,0,0,0,0
Mazura,,0,0,0,0,0,0,0,0
Meddry,,0,0,0,0,0,0,0,0
Mighty Forger,,0,0,0,0,0,0,0,0
Minerva,,0,0,0,0,0,0,0,0
Mingo 2,,0,0,0,0,0,0,0,0
Modnar,,0,0,0,0,0,0,0,0
Moginn,,0,0,0,0,0,0,0,0
Mogra,,0,0,0,0,0,0,0,0
Monaoka,,0,0,0,0,0,0,0,0
Monster Killer,,0,0,0,0,0,0,0,0
Morn,,0,0,0,0,0,0,0,0
Muradin Bronzebeard,,0,0,0,0,0,0,0,0
NaChos,,0,0,0,0,0,0,0,0
Nevyn,,0,0,0,0,0,0,0,0
Nobody special,,0,0,0,0,0,0,0,0
Norbee1984,,0,0,0,0,0,0,0,0
Nygus,,0,0,0,0,0,0,0,0
Ognisty Smok,,0,0,0,0,0,0,0,0
Osferth,,0,0,0,0,0,0,0,0
Pearl,,0,0,0,0,0,0,0,0
Priligy,,0,0,0,0,0,0,0,0
Pryntyl,,0,0,0,0,0,0,0,0
Puck,,0,0,0,0,0,0,0,0
Quick,,0,0,0,0,0,0,0,0
Rain,,0,0,0,0,0,0,0,0
RatkoM,,0,0,0,0,0,0,0,0
Ray Gillette,,0,0,0,0,0,0,0,0
Raya,,0,0,0,0,0,0,0,0
RedDragon,,0,0,0,0,0,0,0,0
Rhodorix,,0,0,0,0,0,0,0,0
Rori,,0,0,0,0,0,0,0,0
Sabar,,0,0,0,0,0,0,0,0
Sailv,,0,0,0,0,0,0,0,0
Sassy Gal,,0,0,0,0,0,0,0,0
Saucy Joy,,0,0,0,0,0,0,0,0
Secret Keeper,,0,0,0,0,0,0,0,0
Sihtric,,0,0,0,0,0,0,0,0
Sir Chthulhu I,,0,0,0,0,0,0,0,0
Sir Cthulhu I,,0,0,0,0,0,0,0,0
Sire Menion,,0,0,0,0,0,0,0,0
Smok,,0,0,0,0,0,0,0,0
Smokn,,0,0,0,0,0,0,0,0
StarSailor,,0,0,0,0,0,0,0,0
Steapa,,0,0,0,0,0,0,0,0
Sterling Archer,,0,0,0,0,0,0,0,0
Tex Willer,,0,0,0,0,0,0,0,0
Tha Supreme,,0,0,0,0,0,0,0,0
The Gladiator,,0,0,0,0,0,0,0,0
Thor,,0,0,0,0,0,0,0,0
Thorn,,0,0,0,0,0,0,0,0
Tolnozin,,0,0,0,0,0,0,0,0
Tonto,,0,0,0,0,0,0,0,0
Tricolor Carioca,,0,0,0,0,0,0,0,0
Tumitac,,0,0,0,0,0,0,0,0
Turbrimir,,0,0,0,0,0,0,0,0
Tygojind,,0,0,0,0,0,0,0,0
Tygoran,,0,0,0,0,0,0,0,0
Tygradi,,0,0,0,0,0,0,0,0
Uhtred,,0,0,0,0,0,0,0,0
Unicorn X,,0,0,0,0,0,0,0,0
Vatharia,,0,0,0,0,0,0,0,0
Viper I,,0,0,0,0,0,0,0,0
Well Constantino,,0,0,0,0,0,0,0,0
Xavier St Cloud,,0,0,0,0,0,0,0,0
Xena,,0,0,0,0,0,0,0,0
Xenia,,0,0,0,0,0,0,0,0
ZaCk,,0,0,0,0,0,0,0,0
aganaway,,0,0,0,0,0,0,0,0
desperados,,0,0,0,0,0,0,0,0
idaco,,0,0,0,0,0,0,0,0
mestesso,,0,0,0,0,0,0,0,0
nallekarhu,,0,0,0,0,0,0,0,0
nervous,,0,0,0,0,0,0,0,0
semoury,,0,0,0,0,0,0,0,0
zipkinci,,0,0,0,0,0,0,0,0
