TIER,PLAYER,COUNT,CITS,SCORE,,
1,Sir James III Son of Hadur,268,116,39035,,
2,Sir RES,236,24,7426,,
,Sire Menion,0,,0,,
,Smok,0,,0,,
,Smokn,0,,0,,
2,Snowberry,209,128,9279,,
,StarSailor,0,,0,,
,Steapa,0,,0,,
,Sterling Archer,0,,0,,
3,Tex Willer,23,0,3473,,
2,Tha Supreme,33,0,5395,,
,The Gladiator,0,,0,,
,Thor,0,,0,,
1,Thorn,30,8,2918,,
3,Thorn K500,7,1,305,,
1,Thoth,137,56,13687,,
,TOKUGAWA NOBUNAGA,0,,0,,
,Tolnozin,0,,0,,
,Tonto,0,,0,,
,Tricolor Carioca,0,,0,,
1,Tumitac,345,274,93758,,
,Turbrimir,0,,0,,
,Tygojind,0,,0,,
,Tygoran,0,,0,,
,Tygradi,0,,0,,
2,Uhtred,55,10,5574,,
,Unicorn X,0,,0,,
3,Vatharia,90,0,2713,,
3,Viper,10,4,172,,
,Viper I,0,,0,,
1,Vlad the Impaler,127,17,7668,,
3,Vugul,69,2,5265,,
2,Well Constantino,109,6,11342,,
2,White Knight,55,22,6741,,
2,Xan,109,30,4401,,
,Xavier St Cloud,0,,0,,
,Xena,0,,0,,
,Xenia,0,,0,,
,ZaCk,0,,0,,
3,zipkinci,63,0,2475,,
