1,Tumitac,,276,176,63735,,
,Turbrimir,,0,,0,,
,Tygojind,,0,,0,,
,Tygoran,,0,,0,,
,Tygradi,,0,,0,,
2,Uhtred,,91,20,17860,,
,Unicorn X,,0,,0,,
3,Vatharia,,69,0,3275,,
,Viper I,,0,,0,,
1,Vlad the Impaler,,165,12,12989,,
3,Vugul,,90,3,9283,,
2,Well Constantino,,101,1,19952,,
2,White Knight,,86,34,10444,,
2,Xan,,388,213,19519,,
,Xavier St Cloud,,0,,0,,
,Xena,,0,,0,,
,Xenia,,0,,0,,
,ZaCk,,0,,0,,
3,zipkinci,,73,0,2492,,
