PLAYER,SCORE,COUNT,TIER,MIGHT
Ray Gillette,0,0,,
Rhodorix,0,0,,
Sabar,0,0,,
Sailv,0,0,,
Sassy Gal,0,0,,
Secret Keeper,0,0,,
Sir Chthulhu I,0,0,,
Smok,0,0,,
Smokn,0,0,,
Sterling Archer,0,0,,
Tex Willer,0,0,,
Thor,0,0,,
Tonto,0,0,,
Turbrimir,0,0,,
Tygradi,0,0,,
Viper I,0,0,,
Xavier St Cloud,0,0,,
Xenia,0,0,,
ZaCk,0,0,,
semoury,0,0,,
