PLAYER,COUNT,TIER,SCORE,,
DON IRON MIKE TYSON,0,,0,,
Dafur,0,,0,,
Deep Inside,0,,0,,
Doctor Krieger,0,,0,,
Dragon Armor,0,,0,,
Drugo,0,,0,,
Dugul,0,,0,,
EL CHAPO GUZMAN,0,,0,,
FERDAUS,0,,0,,
Fagon,0,,0,,
Felharne,0,,0,,
Fisk,0,,0,,
Funfiren,0,,0,,
Genghis Khan,0,,0,,
Grikelv,0,,0,,
Haiiro,0,,0,,
Heimdall,0,,0,,
Hulk,0,,0,,
Immortal I,0,,0,,
Jeepster,0,,0,,
Jill,0,,0,,
KARMA,0,,0,,
KASS,0,,0,,
Kajko,0,,0,,
Kall,0,,0,,
Karo 3,0,,0,,
Karodor2,0,,0,,
Kit Carson,0,,0,,
Kordobrek,0,,0,,
Kyperion Du Torbiney,0,,0,,
LETS GO BRANDON,0,,0,,
Lanfir,0,,0,,
Lanmoin,0,,0,,
Lerinad,0,,0,,
Lilor,0,,0,,
Lorfanor,0,,0,,
Luciditee,0,,0,,
MIYAMOTO MUSASHI,0,,0,,
MMMm,0,,0,,
Maanan,0,,0,,
Mador,0,,0,,
Maelstrom,0,,0,,
Mal the Uncrowned,0,,0,,
Marco,0,,0,,
Marvilla,0,,0,,
Meddry,0,,0,,
Mingo 2,0,,0,,
Modnar,0,,0,,
Monster Killer,0,,0,,
Morn,0,,0,,
NaChos,0,,0,,
Nevyn,0,,0,,
Norbee1984,0,,0,,
Pryntyl,0,,0,,
Puck,0,,0,,
Quick,0,,0,,
Ray Gillette,0,,0,,
Rhodorix,0,,0,,
Sabar,0,,0,,
Sailv,0,,0,,
Sassy Gal,0,,0,,
Secret Keeper,0,,0,,
Sir Chthulhu I,0,,0,,
Sir Cthulhu I,0,,0,,
Smok,0,,0,,
Smokn,0,,0,,
StarSailor,0,,0,,
Sterling Archer,0,,0,,
Tex Willer,0,,0,,
Thor,0,,0,,
Tonto,0,,0,,
Turbrimir,0,,0,,
Tygradi,0,,0,,
Viper I,0,,0,,
Xavier St Cloud,0,,0,,
Xenia,0,,0,,
ZaCk,0,,0,,
semoury,0,,0,,
