PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
3CPo,0,0,0,0,0,0,0,0
Accelerator,0,0,0,0,0,0,0,0
Aegrosad,0,0,0,0,0,0,0,0
Alexander Greek,0,0,0,0,0,0,0,0
Archie,0,0,0,0,0,0,0,0
Arni,0,0,0,0,0,0,0,0
Bad FutherMucker,0,0,0,0,0,0,0,0
Bjorn,0,0,0,0,0,0,0,0
Black Mamba,0,0,0,0,0,0,0,0
Brann Bronzebeard,0,0,0,0,0,0,0,0
Braveheart JNR,0,0,0,0,0,0,0,0
Brightskin,0,0,0,0,0,0,0,0
Bubino71,0,0,0,0,0,0,0,0
Bunnyman,0,0,0,0,0,0,0,0
Cain,0,0,0,0,0,0,0,0
Catty,0,0,0,0,0,0,0,0
Cenaya,0,0,0,0,0,0,0,0
Cerim,0,0,0,0,0,0,0,0
Cesarz Saleka,0,0,0,0,0,0,0,0
Cesarzowa Cwieka,0,0,0,0,0,0,0,0
Conjudred,0,0,0,0,0,0,0,0
Cosmic Dancer,0,0,0,0,0,0,0,0
Cyril Figgis,0,0,0,0,0,0,0,0
D23,0,0,0,0,0,0,0,0
DON IRON MIKE TYSON,0,0,0,0,0,0,0,0
Dabb,0,0,0,0,0,0,0,0
Dacage,0,0,0,0,0,0,0,0
Dafur,0,0,0,0,0,0,0,0
Darvenen,0,0,0,0,0,0,0,0
Deep Inside,0,0,0,0,0,0,0,0
Digore,0,0,0,0,0,0,0,0
Doctor Krieger,0,0,0,0,0,0,0,0
Dr Bruce BANNER,0,0,0,0,0,0,0,0
Dragon Armor,0,0,0,0,0,0,0,0
Drugo,0,0,0,0,0,0,0,0
Dugul,0,0,0,0,0,0,0,0
EL CHAPO GUZMAN,0,0,0,0,0,0,0,0
EVA,0,0,0,0,0,0,0,0
Eyfedef,0,0,0,0,0,0,0,0
FERDAUS,0,0,0,0,0,0,0,0
Fagon,0,0,0,0,0,0,0,0
Fanlotilas,0,0,0,0,0,0,0,0
Fearlessbeard,0,0,0,0,0,0,0,0
Felharne,0,0,0,0,0,0,0,0
Finan,0,0,0,0,0,0,0,0
Finvenen,0,0,0,0,0,0,0,0
Fire Armor,0,0,0,0,0,0,0,0
Fisk,0,0,0,0,0,0,0,0
Genghis Khan,0,0,0,0,0,0,0,0
Graveleye,0,0,0,0,0,0,0,0
Gros jnr,0,0,0,0,0,0,0,0
Grosvenor,0,0,0,0,0,0,0,0
Haiiro,0,0,0,0,0,0,0,0
Heimdall,0,0,0,0,0,0,0,0
Hermit,0,0,0,0,0,0,0,0
Hermit 500,0,0,0,0,0,0,0,0
Immortal,0,0,0,0,0,0,0,0
Immortal I,0,0,0,0,0,0,0,0
Jeepster,0,0,0,0,0,0,0,0
Jill,0,0,0,0,0,0,0,0
KARMA,0,0,0,0,0,0,0,0
KASS,0,0,0,0,0,0,0,0
Kajko,0,0,0,0,0,0,0,0
Kall,0,0,0,0,0,0,0,0
Karo,0,0,0,0,0,0,0,0
Karo 3,0,0,0,0,0,0,0,0
Karodor,0,0,0,0,0,0,0,0
Karodor2,0,0,0,0,0,0,0,0
Kerilir,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,0,0,0,0,0
Kokosz,0,0,0,0,0,0,0,0
Kordobrek,0,0,0,0,0,0,0,0
Kyperion Du Torbiney,0,0,0,0,0,0,0,0
LETS GO BRANDON,0,0,0,0,0,0,0,0
Lady Hawke,0,0,0,0,0,0,0,0
Lanfir,0,0,0,0,0,0,0,0
Lanmoin,0,0,0,0,0,0,0,0
Legon,0,0,0,0,0,0,0,0
Lerinad,0,0,0,0,0,0,0,0
Lilor,0,0,0,0,0,0,0,0
Lirafin,0,0,0,0,0,0,0,0
Lordis,0,0,0,0,0,0,0,0
Luciditee,0,0,0,0,0,0,0,0
MIYAMOTO MUSASHI,0,0,0,0,0,0,0,0
MMM,0,0,0,0,0,0,0,0
MMMm,0,0,0,0,0,0,0,0
MONA,0,0,0,0,0,0,0,0
MONTES,0,0,0,0,0,0,0,0
Maanan,0,0,0,0,0,0,0,0
Mador,0,0,0,0,0,0,0,0
Maelstrom,0,0,0,0,0,0,0,0
Majkel,0,0,0,0,0,0,0,0
Mal the Uncrowned,0,0,0,0,0,0,0,0
Manandis,0,0,0,0,0,0,0,0
Marco,0,0,0,0,0,0,0,0
MarcusTulliusCicero,0,0,0,0,0,0,0,0
Marvina,0,0,0,0,0,0,0,0
Masius,0,0,0,0,0,0,0,0
Mausida,0,0,0,0,0,0,0,0
Maximus Decimus,0,0,0,0,0,0,0,0
Mazura,0,0,0,0,0,0,0,0
Meddry,0,0,0,0,0,0,0,0
Minerva,0,0,0,0,0,0,0,0
Mingo 2,0,0,0,0,0,0,0,0
Modnar,0,0,0,0,0,0,0,0
Moginn,0,0,0,0,0,0,0,0
Mogra,0,0,0,0,0,0,0,0
Monster Killer,0,0,0,0,0,0,0,0
Morardin,0,0,0,0,0,0,0,0
Morn,0,0,0,0,0,0,0,0
Muradin Bronzebeard,0,0,0,0,0,0,0,0
NaChos,0,0,0,0,0,0,0,0
Nevio500,0,0,0,0,0,0,0,0
Nevyn,0,0,0,0,0,0,0,0
Nobody special,0,0,0,0,0,0,0,0
Norbee1984,0,0,0,0,0,0,0,0
Nygus,0,0,0,0,0,0,0,0
Ognisty Smok,0,0,0,0,0,0,0,0
Ollin,0,0,0,0,0,0,0,0
Osferth,0,0,0,0,0,0,0,0
Painmoon,0,0,0,0,0,0,0,0
Pearl,0,0,0,0,0,0,0,0
Priligy,0,0,0,0,0,0,0,0
Pryntyl,0,0,0,0,0,0,0,0
Puck,0,0,0,0,0,0,0,0
Quick,0,0,0,0,0,0,0,0
RED GUARDIAN,0,0,0,0,0,0,0,0
Rain,0,0,0,0,0,0,0,0
RatkoM,0,0,0,0,0,0,0,0
Ray Gillette,0,0,0,0,0,0,0,0
Raya,0,0,0,0,0,0,0,0
Rebellion,0,0,0,0,0,0,0,0
RedDragon,0,0,0,0,0,0,0,0
Rexfury,0,0,0,0,0,0,0,0
Rhodorix,0,0,0,0,0,0,0,0
Rori,0,0,0,0,0,0,0,0
SJ,0,0,0,0,0,0,0,0
Sabar,0,0,0,0,0,0,0,0
Sailv,0,0,0,0,0,0,0,0
Samujas,0,0,0,0,0,0,0,0
Sassy Gal,0,0,0,0,0,0,0,0
Saucy Joy,0,0,0,0,0,0,0,0
Secret Keeper,0,0,0,0,0,0,0,0
Sihtric,0,0,0,0,0,0,0,0
Silverblade,0,0,0,0,0,0,0,0
Sir Chthulhu I,0,0,0,0,0,0,0,0
Sir Doc,0,0,0,0,0,0,0,0
Sire Menion,0,0,0,0,0,0,0,0
Sloth,0,0,0,0,0,0,0,0
Smok,0,0,0,0,0,0,0,0
Smokn,0,0,0,0,0,0,0,0
StarSailor,0,0,0,0,0,0,0,0
Steapa,0,0,0,0,0,0,0,0
Sterling Archer,0,0,0,0,0,0,0,0
Tex Willer,0,0,0,0,0,0,0,0
Teyuoan,0,0,0,0,0,0,0,0
Tha Supreme,0,0,0,0,0,0,0,0
The Gladiator,0,0,0,0,0,0,0,0
Thor,0,0,0,0,0,0,0,0
Thorn K500,0,0,0,0,0,0,0,0
Tolnozin,0,0,0,0,0,0,0,0
Tonto,0,0,0,0,0,0,0,0
Tricolor Carioca,0,0,0,0,0,0,0,0
Turbrimir,0,0,0,0,0,0,0,0
Tygojind,0,0,0,0,0,0,0,0
Tygoran,0,0,0,0,0,0,0,0
Tygradi,0,0,0,0,0,0,0,0
Unicorn X,0,0,0,0,0,0,0,0
Viper I,0,0,0,0,0,0,0,0
Xavier St Cloud,0,0,0,0,0,0,0,0
Xena,0,0,0,0,0,0,0,0
Xenia,0,0,0,0,0,0,0,0
ZaCk,0,0,0,0,0,0,0,0
aganaway,0,0,0,0,0,0,0,0
attacking,0,0,0,0,0,0,0,0
desperados,0,0,0,0,0,0,0,0
here,0,0,0,0,0,0,0,0
mestesso,0,0,0,0,0,0,0,0
nallekarhu,0,0,0,0,0,0,0,0
nervous,0,0,0,0,0,0,0,0
semoury,0,0,0,0,0,0,0,0
zipkinci,0,0,0,0,0,0,0,0
